"Filename","Total Tasks","Total Samples","Total Input Characters","Total Output Characters","GPT-3.5-turbo Cost","GPT-4 Cost","GPT-4-turbo Cost","GPT-4o Cost","GPT-4o-2024-08-06 Cost","GPT-4o-mini Cost"
"baseline","202","2020","614930","4392481","2.1459","91.2655","42.9187","21.5786","13.9313","0.8359"
"pe-01-a","202","2020","675530","5215903","2.3404","97.6105","46.8083","23.6059","15.4028","0.9242"
"pe-01-b","202","2020","756330","5849748","2.5456","105.0405","50.9128","25.6597","16.8376","1.0103"
"pe-01-c","202","2020","754310","5756344","2.4902","102.8076","49.8049","25.1249","16.4824","0.9889"
"pe-02-a","202","2020","776530","5813515","2.5637","106.6079","51.2748","25.8725","16.9082","1.0145"
"pe-02-b","202","2020","732090","5470700","2.4452","102.0421","48.9034","24.6686","16.0909","0.9655"
"pe-03-a","202","2020","780570","5389678","2.4203","101.4421","48.4067","24.3928","15.8743","0.9525"
"pe-negative","202","2020","821930","4781826","2.358","102.7322","47.1605","23.6705","15.0771","0.9046"
"ptfscg_rci-from-baseline-iteration-1","202","2020","7622830","6285744","3.5508","162.3112","71.015","35.7342","22.1268","1.3276"
"ptfscg_rci-from-pe-03-a-iteration-1","202","2020","8372906","6696803","3.7979","174.0393","75.957","38.2991","23.6812","1.4209"
